id,Name,Unit,Description
BlkCnt,"Block, count",block,The sum count of blocks created that interval that were included in the main (base) chain.
IssTotNtv,"Issuance, total, native units",Native units,The sum of all new native units issued that interval.
SplyCur,"Supply, current",Native units,"The sum of all native units ever created and visible on the ledger (i.e., issued) as of that interval. For account-based protocols, only accounts with positive balances are counted."
TxTfrValAdjUSD,"Transactions, transfers, value, adjusted, USD",USD,The USD value of the sum of native units transferred between distinct addresses that interval removing noise and certain artifacts.
CapMrktCurUSD,"Capitalization, market, current supply, USD",USD,The sum USD value of the current supply. Also referred to as network value or market capitalization.
NVTAdj90,"NVT, adjusted, 90d MA",Dimensionless,"The ratio of the network value (or market capitalization, current supply) to the 90-day moving average of the adjusted transfer value. Also referred to as NVT."
PriceUSD,"Price, USD",USD,"The fixed closing price of the asset as of 00:00 UTC the following day (i.e., midnight UTC of the current day) for end-of-day data or the closest prior hour (nearest to that block) for block-by-block data, denominated in USD."
FeeTotUSD,"Fees, total, USD",USD,The sum USD value of all fees paid to miners that interval. Fees do not include new issuance.
IssTotUSD,"Issuance, total, USD",USD,The sum USD value of all new native units issued that interval.
AdrActCnt,"Addresses, active, count",Addresses,The sum count of unique addresses that were active in the network (either as a recipient or originator of a ledger change) that interval. All parties in a ledger change action (recipients and originators) are counted. Individual addresses are not double-counted if previously active.
